school,sex,age,address,famsize,Pstatus,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,Medu_1.0,Medu_2.0,Medu_3.0,Medu_4.0,Fedu_1.0,Fedu_2.0,Fedu_3.0,Fedu_4.0,guardian_mother,guardian_other,traveltime_2.0,traveltime_3.0,traveltime_4.0,studytime_2.0,studytime_3.0,studytime_4.0,failures_1.0,failures_2.0,failures_3.0
GP,F,17,U,GT3,T,no,yes,no,no,no,yes,yes,no,5.0,3.0,3,1.0,1.0,3,4.0,5.0,5,6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
GP,F,15,U,GT3,T,no,yes,yes,yes,yes,yes,yes,yes,3.0,2.0,2,1.0,1.0,5,2.0,15.0,14,15.0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
GP,M,16,U,LE3,T,no,yes,yes,yes,yes,yes,yes,no,5.0,4.0,2,1.0,2.0,5,10.0,15.0,15,15.0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,16,U,LE3,T,no,no,no,no,yes,yes,yes,no,4.0,4.0,4,1.0,1.0,3,0.0,12.0,12,11.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,F,17,U,GT3,A,yes,yes,no,no,yes,yes,no,no,4.0,1.0,4,1.0,1.0,1,6.0,6.0,5,6.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
GP,M,15,U,LE3,A,no,yes,yes,no,yes,yes,yes,no,4.0,2.0,2,1.0,1.0,1,0.0,16.0,18,19.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
GP,M,15,U,GT3,T,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1,1.0,1.0,5,0.0,14.0,15,15.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
GP,F,15,U,GT3,T,no,yes,no,yes,yes,yes,yes,no,5.0,2.0,2,1.0,1.0,4,4.0,10.0,12,12.0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
GP,M,15,U,LE3,T,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,3,1.0,3.0,5,2.0,14.0,14,14.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
GP,M,15,U,GT3,T,no,yes,yes,no,yes,yes,yes,no,5.0,4.0,3,1.0,2.0,3,2.0,10.0,10,11.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
